A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
Et partant, Monſeigneur, de quelque opinion que vous ſoyez, vous porterez auecque vous ce qui gaigne les victoires, & ce qui fait venir la plus grande partie du coſté de la meilleure :	Et partant, Monseigneur, de quelque opinion que vous soyez, vous porterez avec vous ce qui gagne les victoires, et ce qui fait venir la plus grande partie du côté de la meilleure:
Quand meſme les choſes ſe paſſeroient ſans eſtre conteſtées, à tout le moins vous apprẽdrez qui vous eſtes en cette action, où Dieu vous laiſſe tenir ſa place, & ſe repoſe ſur vous du plus important de ſes ouurages :	Quand même les choses se passeraient sans être contestées, à tout le moins vous apprendrez qui vous êtes en cette action, où Dieu vous laisse tenir sa place, et se repose sur vous du plus important de ses ouvrages:
A n’en mentir point, ſa prouidence n’eſt iamais ſi hautement occupée, que quand il faut choiſir celuy qui doit vſer bien ou mal de toutes les richeſſes du Ciel, & exercer vne puiſsance qui eſt la plus proche de l’infinie.	À n’en mentir point, sa providence n’est jamais si hautement occupée, que quand il faut choisir celui qui doit user bien ou mal de toutes les richesses du Ciel, et exercer une puissance qui est la plus proche de l’infinie.
Autresfois en de moindres occaſions Dieu ſe ſeruoit pour parler aux hõmes, de la foudre & des orages, & declaroit ſa volonté par d’autres moyens que ceux qui ſont ordinaires, mais deſpuis qu’il a fait ceſſer les Oracles, & laiſsé agir le tonnerre naturellement, ce n’eſt plus que par la voix des Cardinaux qu’il fait entendre ce qu’il deſire, & qu’il ordonne de la conduite du monde :	Autrefois en de moindres occasions Dieu se servait pour parler aux hommes, de la foudre et des orages, et déclarait sa volonté par d’autres moyens que ceux qui sont ordinaires, mais depuis qu’il a fait cesser les Oracles, et laissé agir le tonnerre naturellement, ce n’est plus que par la voix des Cardinaux qu’il fait entendre ce qu’il désire, et qu’il ordonne de la conduite du monde:
Quand il vous plairra, Monſeigneur, ie ſcauray les inſpirations qu’il vous a enuoyées, & l’election que vous auez faite, car de l’aller apprendre ſi toſt ſur les lieux, il faudroit qu’il n’y euſt point de ſeureté pour moy en ce Royaume, & que ie ne connuſse pas cõme ie fais, le Soleil de Rome.	Quand il vous plaira, Monseigneur, je saurai les inspirations qu’il vous a envoyées, et l’élection que vous avez faite, car de l’aller apprendre sitôt sur les lieux, il faudrait qu’il n’y eût point de sûreté pour moi en ce Royaume, et que je ne connusse pas comme je fais, le soleil de Rome.
Celuy qui noirçit les Mores, & qui bruſle la Lybie n’eſt point ſi dangereux en cette ſaiſon, & ſi vous n’auiez des threſors de neige, & des ſalles de marbre pour vous deffendre du Ciel, i’aymerois autant eſtre condamnè au feu que de demeurer au lieu où vous eſtes ;	Celui qui noircit les Mores, et qui brûle la Libye n’est point si dangereux en cette saison, et si vous n’aviez des trésors de neige, et des salles de marbre pour vous défendre du Ciel, j’aimerais autant être condamné au feu que de demeurer au lieu où vous êtes;
Toutesfois ce n’eſt pas vous à qui on doit faire peur de ces choſes là ;	Toutefois ce n’est pas vous à qui on doit faire peur de ces choses là;
vous n’auez garde de trouuer mauuais l’air qu’a reſpiré toute l’ancienne Republique, ny le Soleil qui a aydé à faire tant de conquerans, & eſclairé de ſi beaux triomphes :	vous n’avez garde de trouver mauvais l’air qu’a respiré toute l’ancienne République, ni le soleil qui a aidé à faire tant de conquérants, et éclairé de si beaux triomphes:
Mais pour moy qui n’ay pas ces conſiderations, & qui me ſuis mis tout entier en la puiſsance de la medecine, il faut que ie fuye l’ombre meſme du danger, & que ie viue dans le monde auec autant de crainte qu’en vn pais d’ennemis, où vne foreſt de beſtes ſauuages.	Mais pour moi qui n’ai pas ces considérations, et qui me suis mis tout entier en la puissance de la médecine, il faut que je fuie l’ombre même du danger, et que je vive dans le monde avec autant de crainte qu’en un pais d’ennemis, où une forêt de bêtes sauvages.
C’eſt donc de pure neceſſité que i’attens icy vos commandemens, & vne meilleure ſaiſon pour vous aller teſmoigner ſans courre fortune de la vie, que ie ſuis de toute mon ame.	C’est donc de pure nécessité que j’attends ici vos commandements, et une meilleure saison pour vous aller témoigner sans courre fortune de la vie, que je suis de toute mon âme.
MONSEIGNEVR, Voſtre tres-humble & tres-obeïſſant ſeruiteur.	MONSEIGNEUR, votre très humble et très obéissant serviteur.
Balzac.	Balzac.
Le 1.	Le 1.
Aouſt 1623.	Août 1623.
A MONSEIGNEVR LE CARDINAL DE Richeliev.	À MONSEIGNEUR LE CARDINAL DE Richelieu.
Lettre.	Lettre.
VI.	VI.
Monseignevr, C’eſtoit mon deſſein arriuant en France de vous aller trouuer au lieu oú vous ſeriez pour auoir l’honneur de vous voir, mais ma ſanté n’ayant pas eſté telle qu’elle me puiſſe encore laiſſer la libre diſpoſition de moy meſme, ie ſuis contraint de differer mon contentement, & d’enuoyer chercher de vos nouuelles en attendant que i’en aille apprendre.	Monseigneur, C’était mon dessein arrivant en France de vous aller trouver au lieu où vous seriez pour avoir l’honneur de vous voir, mais ma santé n’ayant pas été telle qu’elle me puisse encore laisser la libre disposition de moi même, je suis contraint de différer mon contentement, et d’envoyer chercher de vos nouvelles en attendant que j’en aille apprendre.
Afin ce pendant de me ſoulager l’eſprit, ie les veux eſperer auſſi bonnes que ie les souhaite, & m’imaginer que ceſte colique dont on m’a fait peur, ſe ſera noyée dans les fontaines de Pougues.	Afin cependant de me soulager l’esprit, je les veux espérer aussi bonnes que je les souhaite, et m’imaginer que cette colique dont on m’a fait peur, se sera noyée dans les fontaines de Pougues.
Cela certes eſt ſi generalement deſiré, & demandé à Dieu partant de bouches, que ie croy qu’il ne laiſſera pas imparfaite en ce point la felicité qu’il prepare à noſtre temps, & qu’il ayme trop le monde pour le vouloir priuer du bien que vous y deuez faire ;	Cela certes est si généralement désiré, et demandé à Dieu partant de bouches, que je crois qu’il ne laissera pas imparfaite en ce point la félicité qu’il prépare à notre temps, et qu’il aime trop le monde pour le vouloir priver du bien que vous y devez faire;
les armées ayant eſté deffaites, il s’en remet de nouuelles ſur pied, & on peut equiper vne ſeconde flotte apres que la premiere s’eſt perduë ;	les armées ayant été défaites, il s’en remet de nouvelles sur pied, et on peut équiper une seconde flotte après que la première s’est perdue;
Mais s’il venoit faute de vous, Monſeigneur, le monde ne dureroit pas aſsez pour reparer vne telle perte, & il faudroit que le Roy la pleuraſt au milieu meſme de ſes triomphes :	Mais s’il venait faute de vous, Monseigneur, le monde ne durerait pas assez pour réparer une telle perte, et il faudrait que le Roi la pleuraſt au milieu même de ses triomphes:
Il a bien vn Royaume qui ne ſe ſçauroit eſpuiſer d’hommes ;	il a bien un Royaume qui ne se saurait épuiser d’hommes;
la guerre luy fait tous les iours des Capitaines, le nombre des Iuges n’eſt gueres moindre que celuy des Criminels :	la guerre lui fait tous les jours des Capitaines, le nombre des juges n’est guère moindre que celui des Criminels:
c’eſt ſeulement de gens ſages, & capables de gouuerner les Eſtats que la ſterilité eſt grande :	c’est seulement de gens sages, et capables de gouverner les États que la stérilité est grande:
Et ſans mentir, pour en voir encore vn pareil à vous il eſt beſoin que toute la nature trauaille, & que Dieu le promette longtemps aux hommes auant que de le faire naiſtre.	Et sans mentir, pour en voir encore un pareil à vous il est besoin que toute la nature travaille, et que Dieu le promette longtemps aux hommes avant que de le faire naître.
Ie ne dis rien, Monſeigneur, dont ie ne face des ſermens pour preuue de ma creance, & que ie ne confirme par le propre teſmoignage de vos ennemis.	Je ne dis rien, Monseigneur, dont je ne face des serments pour preuve de ma créance, et que je ne confirme par le propre témoignage de vos ennemis.
Il eſt certain que l’authorité des Roys n’eſt point ſi ſouueraine que celle que vous exercez ſur l’ame de ceux qui vous eſcoutent :	Il est certain que l’autorité des Rois n’est point si souveraine que celle que vous exercez sur l’âme de ceux qui vous écoutent:
Vous auez vn eſprit tout puiſsant, qui eſt touſiours occupé aux grandes choſes, & qui ſe delaſſe dans les affaires communes :	Vous avez un esprit tout puissant, qui est toujours occupé aux grandes choses, et qui se délasse dans les affaires communes:
Vous eſtes deſtiné pour remplir la place de ce Cardinal qui fait auiourd’huy vne des belles parties du Ciel, & qui n’a point eu encore de ſucceſſeur quoy qu’il ayt eu des heritiers & des freres.	Vous êtes destiné pour remplir la place de ce Cardinal qui fait aujourd’hui une des belles parties du Ciel, et qui n’a point eu encore de successeur quoi qu’il ait eu des héritiers et des frères.
Et cela eſtant, qui doute qu’il ne falluſt faire des prieres generales pour vne ſanté ſi neceſſaire & ſi precieuſe que la voſtre, & que voſtre vie ne vous doiue eſtre chere, dans laquelle vous auez à conſeruer la gloire de voſtre ſiecle ? Pour moy, Monſeigneur, qui ſuis attaqué de tous coſtez, & à qui il ne reſte que l’eſperance qui eſt le ſeul biẽ de ceux qui n’ont pas les autres, puis que mõ mal-heur veut que ie ſois cette victime publique qui doit eſtre chargée des peines du peuple, & payer pour tout le monde, ie ſerois tres-content que vous puiſſiez m’enuoyer voſtre colique, & qu’elle ſe vint ioindre à la fieure, à la ſciatique & à la grauelle :	Et cela étant, qui doute qu’il ne falluſt faire des prières générales pour une santé si nécessaire et si précieuse que la vôtre, et que votre vie ne vous doive être chère, dans laquelle vous avez à conserver la gloire de votre siècle? Pour moi, Monseigneur, qui suis attaqué de tous côtés, et à qui il ne reste que l’espérance qui est le seul bien de ceux qui n’ont pas les autres, puisque mon malheur veut que je sois cette victime publique qui doit être chargée des peines du peuple, et payer pour tout le monde, je serais très content que vous puissiez m’envoyer votre colique, et qu’elle se vint joindre à la fièvre, à la sciatique et à la gravelle:
Auſſi bien de tant de douleurs il ne ſe ſçauroit faire qu’vne mort, & il n’eſt plus temps d’eſtre meſnager des choſes qui ſont deſia perduës.	Aussi bien de tant de douleurs il ne se saurait faire qu’une mort, et il n’est plus temps d’être ménager des choses qui sont déjà perdues.
Mais ie ne veux pas entrer en ce diſcours dont ie ne pourrois pas trouuer la fin, & ie n’ay que faire de vous dire que c’eſt le plus mal-heureux homme du monde qui vous honnore de peur que vous ne reiettiés mon affection comme vne choſe funeſte, & qu’il ne me ſerue de rien de vous proteſter que ie ſuis.	Mais je ne veux pas entrer en ce discours dont je ne pourrais pas trouver la fin, et je n’ai que faire de vous dire que c’est le plus malheureux homme du monde qui vous honore de peur que vous ne rejetiez mon affection comme une chose funeste, et qu’il ne me serve de rien de vous protester que je suis.
MONSEIGNEVR, Voſtre tres-humble & tres-affectionné ſeruiteur.	MONSEIGNEUR, votre très humble et très affectionné serviteur.
Balzac.	Balzac.
Le 4.	Le 4.
Septembre 1622.	Septembre 1622.
AV MESME Lettre VII.	AU MÊME Lettre VII.
Monseignevr, Apres auoir fermé ma lettre, il a paſſé icy vn courrier de qui i’ay appris que le Pape vous auoit fait Cardinal.	Monseigneur, après avoir fermé ma lettre, il a passé ici un courrier de qui j’ai appris que le Pape vous avait fait Cardinal.
Ie ne doute point que cette nouuelle n’ayt eſté receuë de vous auec auſſi peu d’émotion que ſi elle vous euſt eſté indifferente, & qu’ayant eſleué voſtre eſprit au deſſus des choſes du monde, vous ne les regardiez toutes d’vn meſme viſage[.] Neãtmoins puis qu’en cecy le bien public ſe rencontre auecque voſtre intereſt, & que pour l’amour de vous l’Egliſe ſe reſioüit iuſques dans les priſons de l’Angleterre, il n’y a point d’apparence que vous vous priuiez d’vn contentement qui eſt auſſi chaſte que ceux qui ſe recoiuent au Ciel, & qui procede de la meſme cauſe.	Je ne doute point que cette nouvelle n’ait été reçue de vous avec aussi peu d’émotion que si elle vous eût été indifférente, et qu’ayant élevé votre esprit au dessus des choses du monde, vous ne les regardiez toutes d’un même visage[.] Néanmoins puis qu’en ceci le bien public se rencontre avec votre intérêt, et que pour l’amour de vous l’Église se réjouit jusques dans les prisons de l’Angleterre, il n’y a point d’apparence que vous vous priviez d’un contentement qui est aussi chaste que ceux qui se reçoivent au Ciel, et qui procède de la même cause.
